Título,Conteúdo
"Paulinho Freire, o novo prefeito da capital do Rio Grande do Norte",
Natália Bonavides agradece aos companheiros e segue disponível,
"Natal elege Paulinho Freire, rejeita PT e consolida força de Álvaro Dias",
Paulinho Freire critica PT por “pressão na população” e vai definir transição,
Pesquisa Consult acerta resultado da eleição em Natal,
Paulinho Freire é eleito prefeito de Natal no 2º turno,
Fátima Bezerra diz estar confiante em vitória de Natália Bonavides no 2º turno,
Natália Bonavides vota em Natal e afirma estar feliz com campanha no 2º turno,
Milklei Leite diz que espera maior participação dos eleitores no segundo turno,
Início de votação começa com fila longa em seção de escola da zona Norte de Natal,
"Paulinho Freire lidera com 56,7% das intenções de votos",
575 mil eleitores voltam às urnas neste domingo em Natal,
"Mais ação, menos discurso",
CRÔNICA: Um certo José. Por Marcus Aragão,
Dos corações perdidos,
Parcerias que constroem pontes: RN e Europa de mãos dadas,
Cidadania e participação,
"Mais ação, menos discurso",
CRÔNICA: Um certo José. Por Marcus Aragão,
Parcerias que constroem pontes: RN e Europa de mãos dadas,
Cidadania e participação,
"Com saudade, recordo campanhas políticas",
